User,Phone,Item,Category,Quantity,Posted
Sarah M.,15550001111,Cherry Tomatoes,Vegetables,2 pints,2026-03-01 09:00
Uncle Bob,15550002222,Sourdough Loaf,Cooked Meal,1 loaf,2026-03-01 10:30
Elena R.,15550003333,Fresh Rosemary,Herbs,Large bunch,2026-03-01 11:15
David K.,15550004444,Meyer Lemons,Fruit,6 count,2026-03-02 08:00
James P.,15550005555,Vegetable Lasagna,Cooked Meal,2 portions,2026-03-02 12:45
Maria G.,15550006666,Zucchini,Vegetables,3 large,2026-03-02 14:20
Kevin L.,15550007777,Fresh Eggs,Other,1 dozen,2026-03-02 15:10
Linda W.,15550008888,Apple Pie,Cooked Meal,Half pie,2026-03-02 16:00
Sam T.,15550009999,Mint Leaves,Herbs,Small bag,2026-03-02 16:45
Chloe B.,15550000000,Navel Oranges,Fruit,5 count,2026-03-02 17:30
